iso3;name;type;source
ARG;Argentinia;common_name;own
BRN;Brunei;common_name;own
CZE;Czech Republic;common_name;own
KOR;Korea, South;common_name;own
RUS;Russia;common_name;own
TWN;Taiwan;common_name;own
VNM;Vietnam;common_name;own
MKD;Macedonia;common_name;own
IRN;Iran;common_name;own
BIH;BOSNIA & HERZEGOVINA;common_name;own
VGB;VIRGIN ISLANDS (BRIT);common_name;own
MAC;MACAU;common_name;own
TTO;TRINIDAD & TOBAGO;common_name;own
VGB;VIRGIN ISLANDS(BRIT);common_name;own
GBR;CHANNEL ISLANDS;common_name;own
GBR;ENGLAND;common_name;own
VIR;UNITED STATES VIRGIN ISLANDS;common_name;own
TCA;TURKS & CAICOS ISLANDS;common_name;own
ATG;ANTIGUA & BARBUDA;common_name;own
HKG;HONGKONG;common_name;own
KOR;SOUTH KOREA;common_name;own
CIV;COTE D'IVOIRE;common_name;own
MAC;Macau;common_name;own
MDA;MOLDOVIA;common_name;own
SYR;SYRIA;common_name;own
